ratedate,reconv3
8109.0589,.39654241
8193.2985,.32588038
8323.7598,.33864761
8464.0899,.3368247
8542.3527,.31703297
8631.0027,.29042726
8679.8655,.32359427
8737.7259,.30142232
8815.6382,.319933
8893.1874,.31509121
8977.7752,.31940627
9076.6416,.28976035
9182.8599,.32582418
9287.8156,.29415042
9392.77,.30536378
9454.8717,.30189732
9531.1314,.30145414
9604.7989,.29366391
9692.0187,.33662823
9770.1501,.31339978
9870.5723,.32731137
9945.2364,.33560091
10020.627,.34262295
10127.796,.31848552
10210.858,.32967033
10292.389,.3558952
10371.038,.35710337
10467.262,.35242291
10568.05,.36891078
10678.147,.36589404
10810.955,.29575163
10885.612,.27233584
10963.862,.38423098
11042.814,.37746479
11110.614,.36462882
11211.812,.3525258
11292.157,.36343367
11363.28,.3488115
11430.218,.34844347
11501.983,.33795782
11592.263,.35624659
11676.1,.31481481
11744.911,.34224891
11818.515,.35773253
11880.692,.34547461
11954.056,.33556299
12040.051,.3532967
12127.65,.34746235
12203.353,.28245519
12271.003,.27136515
12336.406,.28354978
12387.414,.27501397
12449.234,.29516129
12517.277,.27380282
12591.23,.26800217
12665.352,.26689001
12739.169,.28196721
12825.939,.27433628
12912.194,.25608407
13008.013,.27362097
13101.318,.26993534
13183.295,.26809955
13241.032,.25517993
13313.692,.26089325
13409.824,.27641824
13495.843,.25617115
13568.653,.27187154
13638.329,.30064309
13675.209,.28555494
13745.528,.30142232
13829.344,.26162465
13919.057,.2553542
14006.037,.23342466
14084.938,.2780837
14150.766,.29009305
14225.94,.29586777
14279.151,.28256071
14325.4,.25412015
14366.344,.26901249
14418.15,.28364042
14494.58,.26182618
14574.79,.27133479
14653.063,.24740579
14717.349,.30881558
14779.024,.27078652
14839.304,.24381055
14897.73,.25932109
14972.388,.27713499
15049.67,.265625
15121.409,.25758411
15200.704,.2773523
15277.912,.27735645
15362.953,.26234907
15449.173,.26970721
15534.42,.26037736
15605.117,.24222937
15672.218,.26264923
15749.555,.24656782
15806.136,.25027871
15856.611,.24295969
