ratedate,reconv3
11429.64,.33801296
11464.96,.36645299
11497.26,.33605601
11548.959,.33667781
11591.168,.35767991
11628.696,.32762557
11674.388,.29405286
11712.234,.34098019
11741.099,.33294118
11778.43,.33922652
11815.601,.37904125
11843.642,.36363636
11875.516,.35274725
11914.259,.33224044
11950.331,.34088335
11987.043,.32781457
12034.413,.35602679
12081.214,.34537246
12124.501,.35483871
12163.326,.32947977
12199.243,.28835691
12233.441,.26006904
12264.437,.27634409
12302.558,.26512651
12333.376,.287964
12356.364,.292172
12382.501,.25227273
12411.137,.29540481
12444.507,.31197479
12471.973,.27744982
12508.273,.27410618
12548.831,.27252252
12583.064,.27232143
12617.415,.26245847
12659.124,.26549587
12692.534,.26941176
12730.513,.27176221
12771.511,.28571429
12815.046,.26425439
12855.513,.27995521
