ratedate,reconv3
12047.602,.328125
12059.377,.33846154
12064.602,.37634409
12068.131,.29906542
12073.412,.40336134
12077.519,.36434109
12081.085,.35849057
12086.008,.28813559
12091.545,.38392857
12095.126,.26126126
12100.103,.37383178
12102.496,.42608696
12113.157,.30578512
12121.325,.36666667
12130.052,.29850746
12135.293,.3566879
12137.741,.41176471
12141.447,.40789474
12143.73,.31304348
12149.646,.42519685
12155.354,.33076923
12159.773,.28571429
12163.574,.32978723
12166.811,.29473684
12174.362,.28461538
12180.336,.328125
12185.016,.32283465
12188.379,.27586207
12192.214,.26984127
12196.491,.27777778
12199.396,.27027027
12203.641,.30769231
12210.845,.26724138
12215.441,.30708661
12219.644,.33663366
12224.344,.234375
12227.415,.20731707
12231.285,.32116788
12235.017,.19008264
12240.271,.30588235
