ratedate,rtp3
8109.0589,.35494327
8192.2782,.31711505
8319.3254,.35690608
8461.0906,.3713174
8538.5695,.39128035
8628.3386,.38592633
8676.4618,.40870548
8731.2627,.41680579
8807.9121,.39377086
8885.8164,.39232053
8967.5669,.37389381
9065.5736,.42420877
9168.8279,.4349751
9273.6646,.4440133
9378.5941,.4356709
9446.0545,.39591605
9515.4695,.42286349
9591.2342,.44573643
9676.0072,.43982252
9754.2939,.45418994
9846.8469,.40033408
9931.3369,.42178771
9999.089,.45606229
10101.905,.40647285
10189.554,.40778342
10272.827,.42519252
10348.313,.40995526
10437.913,.39586823
10535.618,.42793792
10645.284,.4001113
10768.046,.32130966
10866.055,.30731441
10928.917,.36818182
11018.641,.41643836
11085.515,.41186346
11170.423,.36906756
11263.189,.40468227
11337.252,.4148994
11403.598,.39922049
11470.851,.40987243
11556.417,.40394366
11637.143,.38483146
11715.843,.39622642
11784.779,.39628821
11848.681,.44237288
11917.881,.42594655
11993.463,.4212836
12086.931,.41718136
12166.873,.40826446
12236.669,.32672176
12305.175,.34668893
12359.33,.35240793
12414.788,.35371901
12476.202,.34640884
12551.864,.33078185
12621.892,.29529817
12693.987,.28263274
12773.742,.29782487
12857.288,.29304636
12951.1,.33407697
13041.05,.33130194
13134.74,.32826577
13202.489,.34248079
13263.459,.33407697
13344.59,.29339306
13434.231,.31281198
13520.552,.27614831
13592.04,.33893557
13649.565,.39668508
13687.539,.40642303
13769.573,.36874649
13851.874,.28595133
13940.795,.28921023
14029.552,.28699051
14100.023,.33296214
14176.537,.33785822
14242.233,.34938272
14290.018,.33131535
14334.237,.35505246
14377.503,.35093697
14433.989,.33206107
14514.777,.29331823
14595.042,.30756396
14668.497,.29111111
14733.393,.31147541
14794.678,.31028668
14854.109,.33407946
14915.415,.30731171
14996.276,.34118967
15071.69,.31906615
15149.038,.3327787
15228.297,.34330011
15306.932,.35251397
15400.478,.33701048
15489.505,.34574764
15573.854,.3493841
15647.534,.32520776
15734.003,.32323232
15801.053,.28516058
15854.5,.31620112
