ratedate,reconv3
11792.574,.29482072
11811.331,.35887097
11825.723,.40227273
11840.099,.35729387
11855.481,.35616438
11871.646,.34965035
11890.99,.35355649
11912.382,.32310838
11931.992,.33539095
11950.854,.35146444
11969.657,.34989201
11989.343,.31380753
12011.305,.34285714
12041.344,.36614173
12069.641,.35682819
12087.659,.32244898
12109.609,.36717063
12136.314,.34666667
12153.837,.35167464
12173.235,.30612245
12192.261,.29025424
12211.147,.2970297
12229.033,.25411765
12245.254,.25963489
12260.9,.2893617
12279.619,.25108225
12301.108,.27689243
12319.499,.27104723
12333.738,.27114967
12346.259,.31929047
12357.503,.29376258
12371.107,.23717949
12385.658,.26451613
12399.686,.29237288
12416.47,.28632479
12434.361,.30408163
12450.338,.32271762
12464.661,.28714859
12479.156,.2675737
12499.928,.27637131
