ratedate,reconv3
12092,.48888889
12093,.34883721
12094,.36
12095,.23404255
12096,.23076923
12097,1
12098,.5
12099,.375
12100,.36842105
12101,.35714286
12102,.32758621
12103,.52631579
12106,.5
12107,.25
12108,.6
12109,.5
12111,0
12112,0
12113,.28205128
12114,.29268293
12115,.30769231
12116,.28571429
12117,.32653061
12118,1
12119,.5
12120,.5
12122,.5
12127,.36363636
12128,.42307692
12129,.39215686
12130,.12
12131,.29310345
12132,0
12134,.35294118
12135,.38461538
12136,.34939759
12137,.54545455
12138,.36507937
12139,0
12141,.35897436
12142,.47222222
12143,.2739726
12145,.38095238
12146,1
12148,.475
12150,.32432432
12151,.42553191
12152,.30434783
12155,.34210526
12156,.34782609
12157,.32608696
12158,.23529412
12159,.25581395
12162,.35714286
12163,.4
12164,.27777778
12165,.38235294
12166,.27272727
12169,0
12170,.22222222
12171,.25
12172,.28571429
12173,.29268293
12174,1
12176,.4
12177,.18421053
12178,.27272727
12179,0
12180,.33333333
12182,1
12183,.38636364
12184,.27906977
12185,.41025641
12186,.28888889
12187,.2826087
12189,.66666667
12190,.23684211
12191,.25
12192,.33333333
12193,.25396825
12194,.39393939
