ratedate,rtp3
12047.602,.3828125
12059.377,.36923077
12064.602,.5483871
12068.131,.3271028
12073.412,.43697479
12077.519,.36434109
12081.085,.5
12086.008,.45762712
12091.545,.48214286
12095.126,.42342342
12100.103,.43925234
12102.496,.46956522
12113.157,.3553719
12121.325,.39166667
12130.052,.3880597
12135.293,.46496815
12137.741,.44705882
12141.447,.47368421
12143.73,.4173913
12149.646,.46456693
12155.354,.47692308
12159.773,.37815126
12163.574,.41489362
12166.811,.37894737
12174.362,.4
12180.336,.4140625
12185.016,.36220472
12188.379,.36781609
12192.214,.34920635
12196.491,.32407407
12199.396,.38738739
12203.641,.35897436
12210.845,.31896552
12215.441,.33070866
12219.644,.35643564
12224.344,.21875
12227.415,.36585366
12231.285,.37226277
12235.017,.19834711
12240.271,.36470588
