ratedate,rtp3
7687.4196,.41071429
7715.7876,.39823009
7730.7525,.31683168
7744.0275,.37614679
7751.0648,.38888889
7761.4095,.35238095
7770.578,.35779817
7777.0185,.40740741
7785.0748,.35514019
7795.2222,.40740741
7807.5981,.34579439
7829.3193,.40336134
7850.9123,.29824561
7870.703,.34653465
7887.1048,.4
7901.7525,.41584158
7916.2774,.40145985
7927.275,.3375
7938.3226,.41129032
7948.8347,.29752066
7955.875,.36666667
7959.8462,.51648352
7964.427,.5505618
7970.1078,.42156863
7976.7203,.37288136
7985.8247,.29896907
7999.1504,.38053097
8014.544,.376
8026.2824,.25882353
8039.6746,.35714286
8053.8191,.32978723
8063.5733,.28666667
8068.7612,.31343284
8073.0635,.37301587
8079.0225,.34831461
8085.6202,.3255814
8094.99,.49
8100.2917,.3125
8108.0413,.36363636
8115.5258,.50515464
8120.4144,.27927928
8128.7304,.3826087
8135.336,.368
8139.5125,.5375
8143.5135,.46846847
8149.5678,.38135593
8156.67,.29
8161.0636,.41818182
8165,.36190476
8166.528,.368
8168.6047,.3372093
8171.875,.375
8173,.28888889
8175.0189,.23584906
8178.9643,.39285714
8181.1885,.35245902
8188.4273,.37272727
8193.4494,.34177215
8195,.32727273
8196,.5
8197,.31060606
8201.0515,.29896907
8203.482,.26618705
8207.8876,.37078652
8211.1951,.36585366
8215.4074,.44444444
8224.129,.30645161
8233.6374,.43956044
8245.8293,.34146341
8255.0111,.38888889
8261.9843,.34645669
8272.48,.34
8280.1354,.36458333
8290.114,.33333333
8297.982,.35135135
8305.5966,.29411765
8312.3404,.36170213
8323.6286,.40952381
8332.8785,.47663551
8339.3333,.36666667
8346.1376,.34862385
8353.8936,.44680851
8362.9714,.28571429
8374.8276,.4137931
8382.1524,.38095238
8394.7949,.43589744
8406.463,.40740741
8415.7,.38
8425.8165,.32110092
8431.1704,.4
8436.4079,.46052632
8442.2481,.30232558
8446.5326,.43478261
8451.0348,.45217391
8455.4845,.41237113
8460.4966,.4
8466.4017,.4017094
8468,.42372881
8471.3406,.42028986
8475.3553,.46052632
