ratedate,rtp3
7703.4063,.328125
7710.3171,.48780488
7712.4151,.39622642
7717,.35135135
7724.2075,.33962264
7731.8261,.36956522
7737.2222,.33333333
7744.8704,.44444444
7747.5667,.31666667
7750.7059,.47058824
7753.975,.35
7759.7302,.41269841
7763.9286,.26190476
7768.0263,.31578947
7771.9437,.38028169
7774,.53333333
7777.9444,.31944444
7781.8,.4
7783.7045,.38636364
7788.766,.38297872
7794.3559,.37288136
7797.4878,.43902439
7803.4524,.38095238
7809.0612,.32653061
7819.3208,.30188679
7828.6383,.40425532
7838.7872,.46808511
7848.5,.30769231
7856.04,.28
7867.2456,.31578947
7875.1818,.38636364
7882.9636,.4
7890.8378,.37837838
7895.6829,.29268293
7902.9,.48333333
7908.9111,.51111111
7915.2407,.42592593
7921.7255,.31372549
7925.8085,.36170213
7929.3636,.3030303
