ratedate,rtp3
13157.748,.35448578
13170.82,.35786802
13182.374,.35031847
13195.063,.38734177
13204.761,.30597015
13218.214,.34047619
13231.513,.31615925
13243.399,.33091787
13255.75,.3490566
13272.922,.34204276
13288.872,.30872483
13301.675,.3275
13318.076,.34180139
13342.918,.28151261
13379.231,.28571429
13390.742,.31265509
13407.113,.32638889
13423.655,.37142857
13440.945,.30528846
13460.719,.31840796
13479.955,.25757576
13498.966,.31088083
13523.1,.29772727
13536.756,.27560976
13546.469,.2675737
13559.662,.3433584
13572.123,.38072289
13591.438,.32264957
13614.596,.30576441
13627.087,.35857461
13637.501,.40855107
13643.093,.39364303
13650.439,.46284501
13659.308,.40963855
13667.206,.30444965
13672.691,.45125348
13678.07,.43370787
13685.788,.4766147
13696.582,.40163934
13720.96,.32476636
13741.032,.41481481
13756.49,.37527115
13774.338,.37783375
13791.356,.35096154
13809.612,.32199546
13822.437,.3033419
13838.298,.30071599
13859.475,.28703704
13885.316,.27912621
13905.873,.28791209
13922.047,.30855856
13934.725,.3106267
13956.698,.3015873
13972.476,.28039702
13992.502,.28899083
14013.372,.29496403
14033.575,.30288462
14049.375,.31839623
14064.311,.31308411
14081.613,.34677419
14092.631,.33608815
14102.421,.32178218
14114.546,.32739421
14129.446,.39485981
14142.643,.28306878
14160.755,.33490566
14180.787,.30140187
14200.909,.30455635
14216.189,.44019139
14221.165,.3910387
14230.588,.32189974
14247.155,.31294118
14262.062,.35308642
14271.157,.41573034
14277.509,.42857143
14284.964,.35108959
14296.737,.28403756
14307.701,.28678304
14318.545,.3481153
14327.326,.42768595
14333.144,.40061162
14338.846,.26844262
14346.477,.35501355
14355.412,.32061069
14366.132,.38255034
14378.143,.35322196
14386.683,.35626536
14399.939,.35440181
14411.873,.33167082
14420.244,.39099526
14434.164,.30751708
14454.119,.30024814
14474.429,.33333333
14491.65,.29683698
14509.132,.31177829
14526.958,.28508772
14543.151,.29166667
14559.136,.29882353
14578.368,.3220339
14596.986,.28776978
