ratedate,rtp3
13164.84,.2
13188.545,.40909091
13216.423,.30769231
13237.25,.25
13259.522,.26086957
13282.16,.28
13294.682,.18181818
13310.111,.18518519
13343.762,.23809524
13385.238,.38095238
13409.739,.39130435
13434.13,.30434783
13456.5,.33333333
13487.348,.30434783
13516.28,.32
13535.038,.23076923
13543.778,.16666667
13556.792,.33333333
13576.783,.08695652
13614.458,.29166667
13635.917,.29166667
13661.241,.37931034
13668.719,.3125
13670,.6
13673.661,.42857143
13675.72,.56
13677,.56666667
13678,.625
13681.579,.31578947
13683.565,.39130435
13685.143,.47619048
13688.694,.33333333
13697.8,.3
13729.826,.43478261
13746.522,.26086957
13771.48,.44
13793.625,.25
13808.238,.14285714
13819.261,.43478261
13835.542,.20833333
13859,.29166667
13882.381,.23809524
13904.556,.11111111
13917.095,.28571429
13925.864,.40909091
13941.333,.41666667
13966.64,.28
13983,.35
13998.522,.30434783
14015.731,.26923077
14032.958,.29166667
14044,.15
14055.154,.26923077
14068.476,.23809524
14088.154,.15384615
14101.227,.18181818
14113.957,.2173913
14131.409,.31818182
14149.24,.28
14158.857,.14285714
14175.167,.20833333
14186.364,.18181818
14206.125,.20833333
14222.522,.17391304
14235.545,.18181818
14250.333,.29166667
14261.556,.18518519
14268.571,.47619048
14272.5,.40909091
14277.36,.32
14280.864,.22727273
14292.043,.39130435
14301.591,.09090909
14314.208,.16666667
14322.304,.26086957
14328.76,.48
14333.714,.38095238
14337.774,.19354839
14341,.07142857
14347.4,.28
14354.4,.12
14363,.35
14373.969,.3125
14382.125,.5
14392.708,.33333333
14406.217,.2173913
14414.84,.2
14421.15,.25
14430.136,.27272727
14445.261,.30434783
14468.958,.16666667
14489.864,.22727273
14505,.29166667
14522.25,.41666667
14539.455,.18181818
14548,.25925926
14570.591,.27272727
14581.955,.22727273
14598.762,.38095238
