ratedate,rtp3
13705.948,.34597156
13718.231,.30567686
13731.73,.34836066
13741.163,.41089109
13746.067,.44512195
13752.218,.38118812
13763.688,.36180905
13771.891,.38461538
13778.91,.35449735
13788.438,.34285714
13798.406,.36633663
13807.325,.325
13812.956,.31553398
13819.096,.32057416
13827.133,.30733945
13834.675,.325
13844.809,.25581395
13855.854,.30653266
13864.714,.26633166
13879.924,.26903553
13890.256,.28837209
13900.092,.28717949
13910.208,.28846154
13917.686,.30810811
13925.162,.30888031
13929.217,.34782609
13937.314,.29901961
13949.749,.27093596
13959.946,.31372549
13966.717,.29646018
13975.273,.27777778
13985.39,.29357798
13995.174,.27692308
14004.871,.2628866
14015.081,.31578947
14024.893,.30666667
14035.871,.3019802
14044.664,.30373832
14050.123,.32352941
14056.86,.33870968
