ratedate,rtp3
13711.846,.23076923
13737.2,.53333333
13743.7,.1
13747.545,.45454545
13762.455,.54545455
13774.091,.18181818
13782.5,.41666667
13797.176,.23529412
13804.857,.28571429
13809.929,.07142857
13815.727,.27272727
13822.5,.58333333
13831.4,.2
13837.75,.16666667
13850.091,.36363636
13861.75,.16666667
13875.583,.25
13886.083,.33333333
13896.636,.18181818
13909,.08333333
13914.625,.1875
13919.667,.33333333
13923.818,.27272727
13927.909,.54545455
13933.462,.53846154
13950.636,.27272727
13961.727,.09090909
13970.5,.42857143
13978.6,.3
13988.643,.35714286
13997.333,.25
14005,.33333333
14012.231,.30769231
14021.455,.27272727
14029.333,.33333333
14039,.22222222
14042.091,.18181818
14046.833,.08333333
14053.5,.33333333
14058.818,.27272727
